label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
GetJackpot,3415,3535,1457,11609,12422,13046,196,13341,0.1891654465592972,233.84004382361,458.191503077068,36.10653277783484
TOTAL,3415,3535,1457,11609,12422,13046,196,13341,0.1891654465592972,233.84004382361,458.191503077068,36.10653277783484
,,,,,,comment auditlog,,,,,,
GetJackpot,18473,532,527,686,719,767,34,1680,0.0,1749.0058701003597,3135.8963183168435,333.06264127887715
TOTAL,18473,532,527,686,719,767,34,1680,0.0,1749.0058701003597,3135.8963183168435,333.06264127887715
,,,,,,comment auditlog and swagger,,,,,,
GetJackpot,20227,477,492,592,615,672,53,923,0.0,1914.710336993563,3433.009790769358,364.6176911267039
TOTAL,20227,477,492,592,615,672,53,923,0.0,1914.710336993563,3433.009790769358,364.6176911267039
GetJackpot,18551,530,544,708,739,841,34,978,0.0,1746.140813253012,3130.777565829725,332.5170493987669
TOTAL,18551,530,544,708,739,841,34,978,0.0,1746.140813253012,3130.777565829725,332.5170493987669
GetJackpot,21199,462,481,572,596,615,12,640,0.0,2008.2417582417581,3600.7610637611315,382.4288504464286
TOTAL,21199,462,481,572,596,615,12,640,0.0,2008.2417582417581,3600.7610637611315,382.4288504464286
,,,,,,local empty call,,,,,,
GetJackpot,3010,3973,4143,5058,5248,6975,112,7595,0.0,211.37640449438203,77.99716906601124,40.25234265273876
TOTAL,3010,3973,4143,5058,5248,6975,112,7595,0.0,211.37640449438203,77.99716906601124,40.25234265273876
GetJackpot,3049,3986,4261,5346,5893,6196,264,6641,0.0,220.70213536011582,81.31220593557727,42.02823866720956
TOTAL,3049,3986,4261,5346,5893,6196,264,6641,0.0,220.70213536011582,81.31220593557727,42.02823866720956